| Thread-34 (insert_trade) | 2023-02-10 10:22:02,083 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-17 (insert_trade) | 2023-02-10 10:22:02,382 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-35 (insert_trade) | 2023-02-10 10:22:02,994 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-17 (insert_trade) | 2023-02-10 10:22:04,241 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-35 (insert_trade) | 2023-02-10 10:22:04,554 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-28 (insert_trade) | 2023-02-10 10:22:06,794 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-41 (insert_trade) | 2023-02-10 10:22:07,245 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-41 (insert_trade) | 2023-02-10 10:22:08,491 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-58 (insert_trade) | 2023-02-10 10:22:37,333 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-96 (insert_trade) | 2023-02-10 10:24:00,870 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-103 (insert_trade) | 2023-02-10 10:24:13,510 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-109 (insert_trade) | 2023-02-10 10:24:16,607 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-103 (insert_trade) | 2023-02-10 10:24:17,489 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-111 (insert_trade) | 2023-02-10 10:24:18,714 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-118 (insert_trade) | 2023-02-10 10:24:24,790 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-116 (insert_trade) | 2023-02-10 10:24:25,179 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-345 (insert_trade) | 2023-02-10 10:51:08,940 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-457 (insert_trade) | 2023-02-10 10:58:14,635 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-469 (insert_trade) | 2023-02-10 10:58:43,954 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-581 (insert_trade) | 2023-02-10 11:05:18,136 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-579 (insert_trade) | 2023-02-10 11:05:18,659 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-588 (insert_trade) | 2023-02-10 11:05:19,211 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-590 (insert_trade) | 2023-02-10 11:05:20,935 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-584 (insert_trade) | 2023-02-10 11:05:21,278 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-585 (insert_trade) | 2023-02-10 11:05:22,307 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-581 (insert_trade) | 2023-02-10 11:05:22,323 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-585 (insert_trade) | 2023-02-10 11:05:25,053 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-655 (insert_trade) | 2023-02-10 11:07:50,147 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-655 (insert_trade) | 2023-02-10 11:07:52,916 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-660 (insert_trade) | 2023-02-10 11:07:53,775 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
