| Thread-106 (insert_trade) | 2023-02-09 17:03:20,346 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-123 (insert_trade) | 2023-02-09 17:04:16,008 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-131 (insert_trade) | 2023-02-09 17:04:17,622 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-130 (insert_trade) | 2023-02-09 17:04:17,748 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-132 (insert_trade) | 2023-02-09 17:04:18,331 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-123 (insert_trade) | 2023-02-09 17:04:19,279 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-130 (insert_trade) | 2023-02-09 17:04:21,241 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-125 (insert_trade) | 2023-02-09 17:04:22,885 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-142 (insert_trade) | 2023-02-09 17:04:23,783 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-137 (insert_trade) | 2023-02-09 17:04:23,880 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-143 (insert_trade) | 2023-02-09 17:04:25,623 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-123 (insert_trade) | 2023-02-09 17:04:26,162 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-137 (insert_trade) | 2023-02-09 17:04:29,249 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-143 (insert_trade) | 2023-02-09 17:04:30,601 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-125 (insert_trade) | 2023-02-09 17:04:31,632 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-125 (insert_trade) | 2023-02-09 17:04:33,493 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-123 (insert_trade) | 2023-02-09 17:04:34,778 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
